Conflict;Kind;MatchedTraversedLine;CSV_ClassName;CSV_MethodName;CSV_SourceCodeLineNumber
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;423
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;425
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;413
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceRequest', 'SourceCodeLineNumber': 369, 'UnitStatement': '$stack66 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceRequest(RestAdapter.java:369)', 'at retrofit.RestAdapter.logAndReplaceRequest(RestAdapter.java:398)', 'at retrofit.RestAdapter.logAndReplaceRequest(RestAdapter.java:398)']};source;at retrofit.RestAdapter.logAndReplaceRequest(RestAdapter.java:369);retrofit.RestAdapter;private retrofit.client.Request logAndReplaceRequest(retrofit.client.Request) throws java.io.IOException;369
