Conflict;Kind;MatchedTraversedLine;CSV_ClassName;CSV_MethodName;CSV_SourceCodeLineNumber
{'Kind': 'source', 'ClassName': 'org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator', 'MethodName': 'getMethodCallback', 'SourceCodeLineNumber': 85, 'UnitStatement': '$stack18 = new java.lang.StringBuilder', 'TraversedLines': ['at org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(DirectRestServiceInterfaceClassCreator.java:85)']};source;at org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(DirectRestServiceInterfaceClassCreator.java:85);org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;private java.lang.String getMethodCallback(com.google.gwt.core.ext.typeinfo.JMethod);85
{'Kind': 'sink', 'ClassName': 'org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator', 'MethodName': 'getMethodCallback', 'SourceCodeLineNumber': 89, 'UnitStatement': '$stack12 = new java.lang.StringBuilder', 'TraversedLines': ['at org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(DirectRestServiceInterfaceClassCreator.java:89)']};sink;at org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(DirectRestServiceInterfaceClassCreator.java:89);org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;private java.lang.String getMethodCallback(com.google.gwt.core.ext.typeinfo.JMethod);89
{'Kind': 'source', 'ClassName': 'org.jsoup.nodes.TextNode', 'MethodName': 'outerHtmlHead', 'SourceCodeLineNumber': 94, 'UnitStatement': '$stack29 = $stack28 instanceof org.jsoup.nodes.Element', 'TraversedLines': ['at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:94)']};source;at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:94);org.jsoup.nodes.TextNode;void outerHtmlHead(java.lang.StringBuilder, int, org.jsoup.nodes.Document$OutputSettings);94
{'Kind': 'sink', 'ClassName': 'org.jsoup.nodes.TextNode', 'MethodName': 'outerHtmlHead', 'SourceCodeLineNumber': 98, 'UnitStatement': '$stack16 = this.<org.jsoup.nodes.TextNode: org.jsoup.nodes.Node parentNode>', 'TraversedLines': ['at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:98)']};sink;at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:98);org.jsoup.nodes.TextNode;void outerHtmlHead(java.lang.StringBuilder, int, org.jsoup.nodes.Document$OutputSettings);98
{'Kind': 'source', 'ClassName': 'org.jsoup.nodes.TextNode', 'MethodName': 'outerHtmlHead', 'SourceCodeLineNumber': 94, 'UnitStatement': '$stack32 = (org.jsoup.nodes.Element) $stack31', 'TraversedLines': ['at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:94)']};source;at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:94);org.jsoup.nodes.TextNode;void outerHtmlHead(java.lang.StringBuilder, int, org.jsoup.nodes.Document$OutputSettings);94
{'Kind': 'sink', 'ClassName': 'org.jsoup.nodes.TextNode', 'MethodName': 'outerHtmlHead', 'SourceCodeLineNumber': 98, 'UnitStatement': '$stack16 = this.<org.jsoup.nodes.TextNode: org.jsoup.nodes.Node parentNode>', 'TraversedLines': ['at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:98)']};sink;at org.jsoup.nodes.TextNode.outerHtmlHead(TextNode.java:98);org.jsoup.nodes.TextNode;void outerHtmlHead(java.lang.StringBuilder, int, org.jsoup.nodes.Document$OutputSettings);98
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'sink', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack43 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'source', 'ClassName': 'java.lang.String', 'MethodName': 'substring', 'SourceCodeLineNumber': 1962, 'UnitStatement': '$stack4 = l0.<java.lang.String: char[] value>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.android.AndroidLog.log(AndroidLog.java:19)', 'at java.lang.String.substring(String.java:1962)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'substring', 'SourceCodeLineNumber': 1960, 'UnitStatement': '$stack15 = new java.lang.StringIndexOutOfBoundsException', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.android.AndroidLog.log(AndroidLog.java:19)', 'at java.lang.String.substring(String.java:1960)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'substring', 'SourceCodeLineNumber': 1960, 'UnitStatement': '$stack15 = new java.lang.StringIndexOutOfBoundsException', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.android.AndroidLog.log(AndroidLog.java:19)', 'at java.lang.String.substring(String.java:1960)']};sink;at java.lang.String.substring(String.java:1960);java.lang.String;public java.lang.String substring(int, int);1960
{'Kind': 'source', 'ClassName': 'java.lang.String', 'MethodName': 'substring', 'SourceCodeLineNumber': 1962, 'UnitStatement': '$stack5 = lengthof $stack4', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.android.AndroidLog.log(AndroidLog.java:19)', 'at java.lang.String.substring(String.java:1962)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'substring', 'SourceCodeLineNumber': 1960, 'UnitStatement': '$stack15 = new java.lang.StringIndexOutOfBoundsException', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.android.AndroidLog.log(AndroidLog.java:19)', 'at java.lang.String.substring(String.java:1960)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'substring', 'SourceCodeLineNumber': 1960, 'UnitStatement': '$stack15 = new java.lang.StringIndexOutOfBoundsException', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.android.AndroidLog.log(AndroidLog.java:19)', 'at java.lang.String.substring(String.java:1960)']};sink;at java.lang.String.substring(String.java:1960);java.lang.String;public java.lang.String substring(int, int);1960
